transcript_id,LNCaP_DHT_RNA_rep1,LNCaP_DHT_RNA_rep2,LNCaP_Veh_RNA_rep1,LNCaP_Veh_RNA_rep2
NM_032420,2367,3285,3231,3864
NM_005989,3,0,0,0
NM_172246_2,0,0,0,0
NM_001282170_9,0,0,0,0
NM_001282170_2,0,0,0,0
NM_001282170_3,0,0,0,0
NM_001282170_4,0,0,0,0
NM_005118,2708,2685,4185,4193
NM_001282170_6,0,0,0,0
NM_001282170_7,0,0,0,0
NM_005119,78094,77086,65805,67517
NM_017738,4233,4099,4334,4297
NR_027621,0,0,0,0
NR_027620,0,0,0,0
NM_005988,0,0,0,0
NR_027622,115,128,78,66
NR_027624,800,822,690,615
NR_027626,14,9,9,29
NM_020880,642,642,630,606
NM_020883,2336,2336,2279,2500
NM_001289939,55,14,79,9
NM_020884,166,178,154,158
NM_020886,8782,9023,8573,8794
NM_020889,2707,2744,2302,2400
NM_020888,13370,13038,11459,11298
NM_001289930,1143,1156,873,864
NM_001289931,0,0,0,0
NM_001289936,5991,4353,2932,5439
NM_001289937,785,747,954,833
NM_001102575,8410,8042,8324,8540
NM_006123,8,4,4,2
NM_001287184,0,0,0,0
NM_181879,0,0,0,0
NM_001287181,0,0,0,0
NM_001287183,0,0,0,0
NM_001287182,0,0,0,0
NM_181872,0,0,0,0
NM_181873,9,10,2,3
NM_181871,0,0,0,0
NM_001287189,853,949,1255,1020
NM_181877,6325,6153,6432,6650
NM_181874,3,0,3,0
NM_014611,25532,24774,23743,24242
NM_003970_2,87,84,76,85
NM_001256873,14,16,19,18
NM_001177515,5,23,4,8
NM_001256872,12,11,12,10
NM_032423,11103,10852,10883,10963
NM_058187,104,109,87,61
NM_058186,59,53,46,40
NM_005115,1449,1278,1323,1360
NM_058182,55,480,623,141
NM_058181,260,254,40,33
NM_058180,349,451,525,664
NM_153716,0,0,0,0
NM_001198721,15,12,13,8
NR_047671,0,0,0,0
NM_005092,0,11,7,8
NM_001267895,126,112,0,0
NM_005891,8010,7839,7296,7423
NM_001204398,0,0,0,0
NR_110459,2,0,0,0
NM_030639,1130,831,796,1069
NM_187841,0,0,0,46
NM_022553_5,3494,3375,3122,3160
NM_030631,1684,1601,1467,1421
NM_030630,5824,5710,4968,4991
NM_030637,2740,1475,1457,2413
NM_030636,5945,5685,5647,5823
NM_030634,4551,4557,4439,4705
NM_021599,0,0,0,3
NR_110458,0,27,66,93
NM_006272,0,0,0,6
NM_001311168,682,702,762,635
NM_001270879,156,91,61,66
NM_006273,0,0,0,0
NM_001270876,149,144,109,137
NM_001270875,13618,10428,10117,10962
NM_001270873,0,0,0,0
NR_034069,10823,10663,11101,12107
NR_034068,0,0,0,0
NM_003724,3599,3774,3179,2994
NM_006274,4,4,4,4
NR_109903,0,0,0,0
NM_004126,0,0,0,0
NM_021046,1,0,0,1
NM_021047,9030,8882,9254,9362
NM_021044,0,0,0,8
NM_021045,7052,7613,6470,6589
NM_173518,1633,1499,1643,1641
NM_173519,10,4,12,14
NR_034062,0,0,0,0
NM_173514,4834,4470,4946,5086
NM_173515,3860,3795,5295,5244
NM_173516,0,0,0,0
NM_173517,7656,6938,8546,8317
NM_173510,21364,20587,17708,19034
NM_006278,159,149,32,151
NM_173512,0,0,0,0
NM_021049,0,0,0,0
NM_001193388,785,1045,1010,512
NM_001242614,17,20,9,11
NM_001002034,23,21,16,19
NM_032428,411,387,323,359
NM_001172624,10770,2490,8846,8170
NM_001199099,12,25,61,96
NM_001199098,12,26,17,97
NM_201552,41,34,21,56
NM_201553,39,6,32,51
NM_201554,119,99,275,604
NM_001002036,5,0,13,25
NM_032470_10,0,0,0,0
NM_201557,0,0,0,0
NM_001199091,0,0,0,0
NM_201559,36902,36682,33450,35205
NM_001243936,322,440,379,281
NM_001199092,0,0,0,0
NM_001199097,0,0,0,0
NM_001199096,20,0,199,0
NR_024549,2115,2172,2484,2061
NM_175913,0,0,0,0
NM_175910,624,721,794,856
NM_175911,0,0,0,0
NM_175914,0,0,0,0
NM_003370,4137,3976,4084,4191
NR_024540,1013,969,941,994
NM_175918,842,825,668,670
NM_003373,39228,38584,33130,34407
NM_001193637,0,12,0,62
NM_003375,23176,24189,22813,21023
NM_001193635,11,15,23,17
NM_003377,185,436,608,558
NR_046769,0,0,0,0
NR_046768,0,0,0,0
NM_001042522,192,193,137,132
NM_001042520,0,121,0,0
NM_001042521,0,0,0,0
NM_001040875,91,47,176,110
NR_046762,164,162,138,135
NM_031309,35,35,12,26
NR_046764,0,0,0,0
NM_001042529,2153,2295,1747,1873
NR_109900,0,0,0,0
NM_017733,0,1696,2045,998
NM_001103184_2,0,0,0,0
NM_001161531_2,0,0,0,0
NM_005193,0,0,0,0
NM_198141,2005,1905,1835,1802
NM_004444,11387,11317,10575,10613
NM_144668,499,648,639,742
NM_144669,8,0,0,0
NM_198147,1498,1377,1528,1569
NM_198148,9,8,0,0
NM_198149,620,659,721,509
NM_144666,838,858,787,751
NM_144660,2042,1571,1481,1617
NM_144661,0,0,0,0
NM_144662,0,0,0,0
NM_144663,0,0,0,0
NM_001080956,0,0,0,0
NM_001293557,0,0,0,0
NR_073169,0,9,14,22
NM_020319,3707,3637,3815,3780
NM_020318,20,28,37,31
NM_001197293,2620,2970,1319,1423
NM_001197295,0,0,0,0
NM_001197294,476,670,628,550
NM_001197297,802,710,604,2690
NM_001197296,23,20,43,48
NM_020311,16335,16074,15742,16104
NM_020310,640,580,628,559
NM_020313,5270,5288,5361,5693
NM_020312,10899,10379,9738,10292
NM_020315,1206,1186,933,905
NM_020314,14502,14284,12818,13001
NM_020317,2380,2412,2469,2583
NM_001282171_27,0,0,0,0
NM_001291833_2,0,0,0,0
NM_001291833_3,0,0,0,0
NM_001113361,4942,9644,4382,4960
NM_001291833_7,0,0,0,0
NM_001113363,4159,4816,3606,3310
NM_001291833_5,0,0,0,0
NM_005191,32,30,22,24
NM_001033930,20847,19693,20242,21997
NM_052893,4324,4226,4133,2568
NR_031650,78,87,57,50
NM_052891,0,0,0,0
NR_130756_2,702,2268,2176,623
NM_201437,5592,8389,5758,5593
NM_003410,4714,7788,9994,11607
NR_120682,163,194,151,219
NM_001199659,226,18,174,217
NM_001282765,0,0,109,53
NR_120685,97,112,88,71
NM_001267048,0,725,389,147
NM_052896,0,0,0,0
NM_201434,183,204,178,153
NM_022784,4,2,7,5
NM_001278444,0,0,0,0
NM_001278445,0,0,0,0
NM_001278442,371,291,421,345
NM_001278443,0,0,0,2
NM_001278441,36,36,51,53
NM_001242328_8,0,0,0,0
NM_001303618,0,0,0,0
NM_001303619,0,0,0,0
NM_201431,0,0,0,0
NM_021723,62,2470,2635,9
NR_110457,36,22,20,30
NM_032965,0,0,0,0
NM_001242328_3,0,0,0,0
NM_201430,2857,2897,3958,4343
NM_001242328_5,0,0,0,0
NM_001242328_4,0,0,0,0
NM_001303614,357,385,158,143
NM_001242328_6,0,0,0,0
NR_073534,384,2,307,505
NM_022788,8,14,4,0
NR_073536,14,26,13,12
NR_073537,0,896,0,70
NM_022789,10,14,4,6
NM_001256512_2,1668,1544,1361,1385
NM_001477_2,8,27,30,18
NM_003412,0,0,0,0
NM_018217,599,696,532,705
NM_018216,1955,1892,1897,1976
NM_018215,0,5,0,0
NM_018214,4260,4165,3796,3767
NM_017671,2209,2246,2207,2183
