gene_id,LNCaP_DHT_RNA_rep1_batch,LNCaP_DHT_RNA_rep2_batch,LNCaP_Veh_RNA_rep1_batch,LNCaP_Veh_RNA_rep2_batch
MRPL10|MRPL10,12.886065,13.525512999999998,11.668769,11.776027999999998
OR14J1|OR14J1,0.0,0.0,0.0,0.0
BAZ2B|BAZ2B,6.681559,6.851973000000001,6.5457719999999995,6.626386
SNORD103B|SNORD103B,0.73855,0.7583340000000001,0.495575,0.771096
LOC101927120|LOC101927120,0.0,0.0,0.004028,0.0
MIR6767|MIR6767,0.034088,0.210154,0.11743,0.036847
MTRNR2L9|MTRNR2L9,32.303169,28.590771,28.775993,26.059406
RNF138P1|RNF138P1,5.045001,4.975574,2.076433,2.186579
PROK1|PROK1,0.0,0.0,0.0,0.0
TMEM179B|TMEM179B,17.095795,17.328096,14.50048,14.671183
RPS7P5|RPS7P5,0.0,0.0,0.0,0.0
MIR675|MIR675,0.0,0.0,0.016802,0.0
MIR4682|MIR4682,0.0,0.0,0.0,0.158812
HOXD4|HOXD4,0.0,0.023061,0.0,0.0
BTBD9|BTBD9,5.95163,5.961862,5.52307,5.710694
MMRN1|MMRN1,0.0,0.0,0.0,0.0
LRP6|LRP6,18.320791,18.960537,18.456501,18.845535
ANKRD30BL|ANKRD30BL,0.0,0.0,0.014936,0.0
KRTAP4-12|KRTAP4-12,0.0,0.0,0.0,0.0
MIR4704|MIR4704,0.0,0.0,0.0,0.0
ZNF222|ZNF222,3.2062880000000002,3.506542,3.4783359999999997,3.7594220000000003
LOC102724957|LOC102724957,0.0,0.0,0.0,0.0
MIR3064|MIR3064,95.478226,99.237389,84.330864,87.387291
KIAA1217|KIAA1217,15.168543,15.600037,13.827504999999999,14.541462999999998
FAM162A|FAM162A,131.652817,134.913483,126.878349,129.493851
LVCAT8|LVCAT8,0.076093,0.082313,0.224268,0.087319
MIR4480|MIR4480,0.0,0.0,0.08061,0.0
KIAA0825|KIAA0825,0.785129,0.78009,0.694533,0.774994
CCL21|CCL21,0.0,0.0,0.0,0.028125
SLC2A12|SLC2A12,31.60932,32.418404,16.435717,17.296925
GZMA|GZMA,0.0,0.0,0.0,0.0
GNPTAB|GNPTAB,21.65177,21.992306,20.580715,20.890509
LOC101927869|LOC101927869,0.0,0.0,0.0,0.0
PRKAG2-AS1|PRKAG2-AS1,0.335769,0.214503,0.240736,0.213184
LOC392232|LOC392232,0.0,0.0,0.0,0.0
ADIRF|ADIRF,0.0,0.0,0.0,0.0
RNU6-14P|RNU6-14P,73.983009,73.463608,79.323273,79.955582
NEU3|NEU3,14.527692,15.219932,13.496279,14.132067
LINC01105|LINC01105,0.0,0.004176,0.001075,0.003552
STAR|STAR,0.077966,0.064971,0.059817,0.047892
PPIP5K2|PPIP5K2,13.583013000000001,14.083917999999999,12.841567000000001,13.431682
UBE2F|UBE2F,10.205599,10.746170999999999,9.108825999999999,9.271873999999999
TIPARP-AS1|TIPARP-AS1,0.480436,0.44761,0.459665,0.415612
LAMP3|LAMP3,0.0,0.0,0.0,0.003721
ZNF345|ZNF345,4.786444,5.439248,5.7824919999999995,5.686462
SIGLEC5|SIGLEC5,0.0,0.007166,0.004726,0.004565
RGS13|RGS13,0.0,0.0,0.0,0.0
LINC00581|LINC00581,0.0,0.0,0.0,0.0
SNORD115-12|SNORD115-12,0.0,0.0,0.0,0.006423
CLMP|CLMP,0.4495,0.426662,0.393702,0.522245
MIR221|MIR221,0.062436,0.0,0.096473,0.063687
GOLGA7B|GOLGA7B,0.003269,0.007153,0.003698,0.006353
SNORD64|SNORD64,0.000875,0.000806,0.000914,0.000982
KCNIP2-AS1|KCNIP2-AS1,0.164633,0.238765,0.126777,0.156231
C11orf24|C11orf24,3.0292820000000003,3.430949,2.660176,2.6693320000000003
SNORD113-1|SNORD113-1,0.0,0.0,0.0,0.0
RGS10|RGS10,23.08211,22.486843,21.417612000000002,22.832693
TLR8|TLR8,0.0,0.0,0.0,0.002728
ENHO|ENHO,0.156199,0.097321,0.048336,0.036789
OR2W3|OR2W3,0.0,0.0,0.0,0.0
CRYBB2P1|CRYBB2P1,3.557053,3.8507730000000002,3.4732139999999996,3.033704
GPR68|GPR68,0.127149,0.129614,0.09664,0.13551
SKINTL|SKINTL,0.0,0.0,0.0,0.025539
SOWAHC|SOWAHC,2.771297,2.75839,2.819542,2.656391
TICAM2|TICAM2,0.008878,0.017059,0.013579,0.011868
NDUFAF6|NDUFAF6,4.870528,5.053902,4.435278,4.566659
ADAMTS1|ADAMTS1,136.34552,138.160614,114.629555,117.309715
C5orf67|C5orf67,0.0,0.0,0.0,0.0
GPRC5B|GPRC5B,1.274503,1.320552,0.934297,1.050708
CYP2C9|CYP2C9,4.525237,4.575089,4.38514,4.117182
RHOXF2|RHOXF2,0.0,0.0,0.0,0.0
FLT3LG|FLT3LG,0.0,0.043441,0.036406,0.036361
NDUFA8|NDUFA8,43.778828,44.310501,39.448727,39.073692
RBM48|RBM48,6.064697,6.337404,6.393211,6.464418
OLR1|OLR1,0.0,0.0,0.0,0.0
TFCP2L1|TFCP2L1,0.015009,0.007602,0.010362,0.009859
LOC100996325|LOC100996325,0.02591,0.050637,0.073922,0.069055
LINC01489|LINC01489,0.0,0.0,0.0,0.0
LOC101928837|LOC101928837,5.709587000000001,5.30227,5.100735,4.566803
MGRN1|MGRN1,5.489515,5.847327,4.656167,4.710873
LINC00839|LINC00839,5.149313,5.446239,4.549133,4.53758
VPS9D1-AS1|VPS9D1-AS1,2.703628,2.738346,2.466598,2.482204
LINC00572|LINC00572,0.041187,0.111013,0.13396,0.0
LOC101927708|LOC101927708,0.12309,0.188282,0.301185,0.154528
PRORSD1P|PRORSD1P,1.226292,1.302293,1.006282,0.935286
MAP4K1|MAP4K1,0.46346,0.490916,0.444762,0.499906
TP53INP2|TP53INP2,1.390458,1.448312,1.227349,1.39108
CASC10|CASC10,0.327495,0.333543,0.196869,0.233356
LOC440600|LOC440600,0.11188,0.167476,0.112795,0.137845
ACSBG2|ACSBG2,0.301063,0.337587,0.322866,0.317897
DUSP6|DUSP6,0.071989,0.097632,0.120185,0.141681
CCAT2|CCAT2,0.198774,0.206741,0.143669,0.174447
TFAP2A-AS1|TFAP2A-AS1,0.334827,0.263393,0.203848,0.127616
FLNA|FLNA,47.839468,48.877148,41.65761,42.326874000000004
EXOSC2|EXOSC2,21.734763,22.562247,22.203662,22.692366
NDP|NDP,0.472114,0.5051,0.54418,0.510441
KRT16P2|KRT16P2,0.0,0.0,0.0,0.0
HMGA1P7|HMGA1P7,0.0,0.0,0.0,0.0
PSG8|PSG8,0.0,0.0,0.0,0.0
OR51B5|OR51B5,0.225893,0.118255,0.16543000000000002,0.15879100000000002
SUCLG1|SUCLG1,16.224882,16.599718,14.524585,14.401846
